sample_id,region_id,T,F,P,En
hifigan_LA_D_1024892,11,speech,mid,vowel,"From 1.30 to 1.40 seconds, this mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1024892,14,speech,low,vowel,"From 1.30 to 1.40 seconds, this low-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1024892,15,speech,low,vowel,"From 0.69 to 0.94 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of spectral texture can weaken the natural resonance of the aligned vowel and make it sound hollow or synthetic."
hifigan_LA_D_1026868,11,speech,mid,vowel,"From 3.31 to 3.44 seconds, this mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1026868,14,speech,low,vowel,"From 3.12 to 3.31 seconds, this low-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1026868,15,speech,low,vowel,"From 0.8 to 1.0 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1028589,7,speech,mid,vowel,"From 2.09 to 2.23 seconds, this mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1028589,14,speech,low,vowel,"From 0.7 to 0.9 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1028589,15,speech,low,vowel,"From 0.70 to 0.95 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1038259,11,speech,mid,vowel,"From 1.89 to 2.25 seconds, this mid-frequency region shows overly regular, repeated spectral structure that is unlikely to arise from natural vocal variation. Because the region is aligned with a vowel, the excessive regularity can make its sustained resonance sound robotic or mechanical."
hifigan_LA_D_1038259,14,speech,low,consonant,"From 1.5 to 1.7 seconds, this low-frequency region shows overly regular, repeated spectral structure that is unlikely to arise from natural vocal variation. The region is aligned with a consonant, and the repeated structure can replace a natural transient with a robotic or mechanical pattern."
hifigan_LA_D_1038259,15,speech,low,vowel,"From 3.33 to 3.43 seconds, this low-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1047731,10,speech,mid,vowel,"From 1.39 to 1.80 seconds, this mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1047731,14,speech,low,vowel,"From 1.6 to 1.8 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1047731,15,speech,low,vowel,"From 1.16 to 1.39 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
